"course_id","skill_id","categories"
"109","11307","[""description""]"
"109","11314","[""description""]"
"109","11365","[""description""]"
"109","11515","[""description""]"
"109","11588","[""description""]"
"109","11645","[""description""]"
"109","11885","[""description""]"
"109","11941","[""description""]"
"109","12049","[""description""]"
"109","12131","[""description""]"
"109","12190","[""description""]"
"109","12635","[""description""]"
"109","12698","[""description""]"
"109","12756","[""description""]"
"109","13241","[""description""]"
"109","13426","[""description""]"
"109","13484","[""description""]"
"109","14228","[""description""]"
"109","14428","[""description""]"
"109","14591","[""description""]"
"109","15021","[""description""]"
"109","15041","[""description""]"
"109","16127","[""description""]"
"110","10958","[""objectives""]"
"110","11283","[""objectives""]"
"110","11381","[""course_content""]"
"110","12803","[""objectives""]"
"110","13578","[""educational_material""]"
"110","19439","[""course_content""]"
"111","11197","[""course_content""]"
"111","11427","[""course_content""]"
"111","11485","[""description""]"
"112","10997","[""description"", ""learning_outcomes"", ""lesson_name"", ""objectives""]"
"112","11072","[""assessment""]"
"112","12407","[""description"", ""objectives""]"
"113","11072","[""course_content""]"
"114","10905","[""course_content"", ""learning_outcomes"", ""objectives""]"
"114","10989","[""assessment"", ""course_content""]"
"114","11011","[""course_content""]"
"114","11072","[""assessment""]"
"114","11111","[""assessment""]"
"114","11227","[""course_content""]"
"114","11328","[""course_content""]"
"114","11425","[""course_content""]"
"114","11553","[""course_content""]"
"114","11576","[""course_content""]"
"114","11738","[""course_content""]"
"114","13290","[""course_content""]"
"114","13618","[""course_content""]"
"114","14108","[""course_content""]"
"114","15255","[""course_content""]"
"114","16287","[""course_content""]"
"114","16839","[""course_content""]"
"114","18439","[""lesson_name""]"
"114","18471","[""course_content""]"
"114","18514","[""course_content""]"
"114","18545","[""assessment""]"
"115","10868","[""description""]"
"115","10888","[""educational_material""]"
"115","10967","[""description""]"
"115","11003","[""description""]"
"115","11122","[""objectives""]"
"115","12273","[""course_content"", ""learning_outcomes"", ""objectives""]"
"115","18377","[""course_content"", ""objectives""]"
"116","10868","[""lesson_name""]"
"116","10888","[""educational_material""]"
"116","13630","[""learning_outcomes"", ""objectives""]"
"117","11881","[""course_content"", ""description"", ""learning_outcomes"", ""lesson_name"", ""objectives""]"
"117","11911","[""assessment""]"
"118","10883","[""objectives""]"
"118","11574","[""description""]"
"119","10868","[""learning_outcomes"", ""objectives""]"
"119","10971","[""learning_outcomes""]"
"119","11417","[""description"", ""lesson_name""]"
"119","18397","[""description""]"
"120","11087","[""description""]"
"121","10975","[""assessment""]"
"121","10976","[""lesson_name""]"
"121","11111","[""assessment""]"
"122","10917","[""learning_outcomes""]"
"122","11576","[""description"", ""learning_outcomes""]"
"122","12960","[""objectives""]"
"122","16209","[""learning_outcomes""]"
"124","11314","[""learning_outcomes""]"
"124","14228","[""description""]"
"125","10997","[""objectives""]"
"125","18368","[""objectives""]"
"125","18373","[""learning_outcomes""]"
"126","10902","[""description"", ""objectives""]"
"126","10925","[""description"", ""objectives""]"
"126","11072","[""assessment""]"
"126","11273","[""course_content""]"
"126","11280","[""description"", ""objectives""]"
"126","11334","[""course_content""]"
"126","11858","[""course_content""]"
"126","12208","[""description"", ""objectives""]"
"126","13578","[""assessment"", ""course_content""]"
"126","18579","[""course_content""]"
"126","18586","[""course_content""]"
"126","18604","[""course_content""]"
"126","18609","[""course_content""]"
"126","18614","[""course_content""]"
"127","10868","[""objectives""]"
"127","10872","[""learning_outcomes""]"
"127","11064","[""learning_outcomes""]"
"127","11072","[""assessment""]"
"127","11699","[""learning_outcomes""]"
"127","18402","[""learning_outcomes""]"
"128","10914","[""course_content"", ""learning_outcomes""]"
"128","10996","[""course_content""]"
"128","11008","[""course_content""]"
"128","11009","[""description"", ""objectives""]"
"128","11095","[""course_content"", ""description""]"
"128","11102","[""course_content"", ""description"", ""objectives""]"
"128","11425","[""course_content"", ""learning_outcomes"", ""objectives""]"
"128","11699","[""course_content""]"
"128","11911","[""course_content"", ""description"", ""learning_outcomes"", ""objectives""]"
"128","12545","[""learning_outcomes""]"
"128","12740","[""learning_outcomes""]"
"128","12780","[""learning_outcomes"", ""objectives""]"
"128","13618","[""description"", ""objectives""]"
"129","10864","[""learning_outcomes""]"
"129","10891","[""description"", ""learning_outcomes""]"
"129","10892","[""course_content""]"
"129","10967","[""course_content""]"
"129","11071","[""description"", ""objectives""]"
"129","11911","[""assessment""]"
"130","10889","[""course_content"", ""description"", ""learning_outcomes"", ""objectives""]"
"130","10900","[""course_content""]"
"130","10921","[""course_content"", ""description"", ""objectives""]"
"130","11087","[""assessment""]"
"130","11911","[""assessment""]"
"130","12230","[""learning_outcomes""]"
"130","12284","[""learning_outcomes""]"
"130","14286","[""course_content""]"
"130","18395","[""learning_outcomes""]"
"130","18409","[""course_content""]"
"130","18413","[""assessment""]"
"131","10967","[""lesson_name""]"
"131","10997","[""description"", ""learning_outcomes""]"
"131","10999","[""learning_outcomes""]"
"131","11072","[""assessment""]"
"131","11087","[""assessment""]"
"131","12002","[""assessment""]"
"131","12204","[""learning_outcomes""]"
"131","18428","[""description""]"
"132","10868","[""lesson_name""]"
"132","11072","[""assessment""]"
"132","11095","[""objectives""]"
"132","11129","[""learning_outcomes""]"
"132","12161","[""objectives""]"
"132","13032","[""learning_outcomes""]"
"132","13480","[""assessment""]"
"132","13626","[""description""]"
"133","10885","[""learning_outcomes""]"
"133","10898","[""description""]"
"133","11108","[""course_content"", ""description""]"
